"FECHA_PRECIO","ANIO_PRECIO","MES_PRECIO","DIA_PRECIO","DEPARTAMENTO_EDS","MUNICIPIO_EDS","NOMBRE_COMERCIAL_EDS","PRECIO_PROMEDIO_PUBLICADO","TIPO_COMBUSTIBLE","CODIGO_MUNICIPIO_DANE","LATITUD_MUNICIPIO","LONGITUD_MUNICIPIO"
"2024-2-01","2024","2","01","VALLE DEL CAUCA","CALI","ESTACION DE SERVICIO AVENIDA SUR GAS VEHICULAR","2,817","GNCV","76001","3.41369","-76.521"
"2025-5-01","2025","5","01","ANTIOQUIA","MEDELLIN","EDS ESSO CASTILLA","3,490","GNCV","05001","6.24663","-75.581"
"2022-11-01","2022","11","01","VALLE DEL CAUCA","CALI","ESTACION DE SERVICIO EL CAMBIO S.A.S","2,287","GNCV","76001","3.41369","-76.521"
"2021-1-01","2021","1","01","BOGOTA D.C.","BOGOTA, D.C.","EDS ESSO INDUSTRIAL BOYACA","1,729","GNCV","11001","4.64925","-74.107"
"2021-3-01","2021","3","01","ATLANTICO","BARRANQUILLA","GAZEL AUTONOMA","1,589","GNCV","08001","10.978","-74.815"
"2021-6-01","2021","6","01","BOGOTA D.C.","BOGOTA, D.C.","EDS TERPEL CENTRO BOGOTA GNV","1,689","GNCV","11001","4.64925","-74.107"
"2022-7-01","2022","7","01","BOGOTA D.C.","BOGOTA, D.C.","EDS ESSO MUZU","1,809","GNCV","11001","4.64925","-74.107"
"2022-7-01","2022","7","01","BOLIVAR","CARTAGENA DE INDIAS","EDS LA HEROICA","1,777","GNCV","13001","10.3851","-75.496"
"2021-1-01","2021","1","01","VALLE DEL CAUCA","TULUA","EDS TULUA GNV","1,958","GNCV","76834","4.0854","-76.197"
"2024-2-01","2024","2","01","ATLANTICO","BARRANQUILLA","EDS SAN PEDRO","2,300","GNCV","08001","10.978","-74.815"
"2025-3-01","2025","3","01","BOLIVAR","CARTAGENA DE INDIAS","GAZEL MAMONAL","2,827","GNCV","13001","10.3851","-75.496"
"2025-3-01","2025","3","01","MAGDALENA","SANTA MARTA","ESTACION DE SERVICIO AUTOMOTRIZ MANZANARES","3,067","GNCV","47001","11.2047","-74.199"
"2022-11-01","2022","11","01","CUNDINAMARCA","CHIA","CHIA EDS - GNV","2,079","GNCV","25175","4.86651","-74.05"
"2021-1-01","2021","1","01","BOGOTA D.C.","BOGOTA, D.C.","ESTACION DE SERVICIO PRADERA DE SUBA","1,799","GNCV","11001","4.64925","-74.107"
"2021-2-01","2021","2","01","QUINDIO","ARMENIA","ESTACION DE SERVICIO GNV EL CENTRO","2,074","GNCV","63001","4.53598","-75.680"
"2023-9-01","2023","9","01","BOGOTA D.C.","BOGOTA, D.C.","EDS TERPEL GNV MARIANA","2,075","GNCV","11001","4.64925","-74.107"
"2022-11-01","2022","11","01","VALLE DEL CAUCA","LA UNION","ESTACIÓN DE SERVICIO COOPERATIVA DE TRANSPORTADORES LA ANDINA","2,190","GNCV","76400","4.53387","-76.099"
"2021-2-01","2021","2","01","BOGOTA D.C.","BOGOTA, D.C.","EDS ORION","1,769","GNCV","11001","4.64925","-74.107"
"2024-11-01","2024","11","01","VALLE DEL CAUCA","CALI","ESTACIÓN DE SERVICIO OPES PALERMO","2,940","GNCV","76001","3.41369","-76.521"
"2022-12-01","2022","12","01","VALLE DEL CAUCA","CALI","EDS TERPEL GNV EL INGENIO","2,495","GNCV","76001","3.41369","-76.521"
"2022-4-01","2022","4","01","BOGOTA D.C.","BOGOTA, D.C.","ESTACIÓN DE SERVICIO PATIO USME","1,499","GNCV","11001","4.64925","-74.107"
"2021-3-01","2021","3","01","QUINDIO","CALARCA","EDS LA METRO GNV","2,074","GNCV","63130","4.52098","-75.646"
"2023-3-01","2023","3","01","BOGOTA D.C.","BOGOTA, D.C.","ESTACIÓN DE COMBUSTIBLE AUTOBOYACA","2,118","GNCV","11001","4.64925","-74.107"
"2025-7-01","2025","7","01","VALLE DEL CAUCA","CALI","ESTACION DE SERVICIO AVENIDA SUR GAS VEHICULAR","3,149","GNCV","76001","3.41369","-76.521"
"2022-6-01","2022","6","01","CUNDINAMARCA","SOACHA","EDS EL RETORNO GNV","1,799","GNCV","25754","4.57927","-74.215"
"2022-5-01","2022","5","01","VALLE DEL CAUCA","CALI","ESTACION DE SERVICIO EL CAMBIO S.A.S","2,019","GNCV","76001","3.41369","-76.521"
"2023-12-01","2023","12","01","CAUCA","POPAYAN","CENTROCARROS DEL NORTE","3,017","GNCV","19001","2.45964","-76.599"
"2021-11-01","2021","11","01","SUCRE","SINCELEJO","E.D.S. LOS ANGELES","1,490","GNCV","70001","9.30232","-75.395"
"2024-8-01","2024","8","01","CUNDINAMARCA","MOSQUERA","ESTACION DE SERVICIO EL PORVENIR","2,269","GNCV","25473","4.70653","-74.221"
"2021-2-01","2021","2","01","ANTIOQUIA","MEDELLIN","ESTACION DE SERVICIO COMBUSCOL - LA 70","1,795","GNCV","05001","6.24663","-75.581"
"2023-12-01","2023","12","01","VALLE DEL CAUCA","CALI","EDS TERPEL GNV EL INGENIO","2,795","GNCV","76001","3.41369","-76.521"
"2025-9-01","2025","9","01","BOGOTA D.C.","BOGOTA, D.C.","EDS ESSO QUIROGA","2,650","GNCV","11001","4.64925","-74.107"
"2021-5-01","2021","5","01","VALLE DEL CAUCA","CALI","ESTACION DE SERVICIOS LAS CEIBAS CALI S.A.S.","1,810","GNCV","76001","3.41369","-76.521"
"2022-11-01","2022","11","01","VALLE DEL CAUCA","CALI","GANMEGAN CALI","2,467","GNCV","76001","3.41369","-76.521"
"2023-7-01","2023","7","01","VALLE DEL CAUCA","CALI","EDS CENCOSUD SIMON BOLIVAR GNV","2,550","GNCV","76001","3.41369","-76.521"
"2023-11-01","2023","11","01","HUILA","NEIVA","EDS COOTRANSHUILA TERMINAL","2,400","GNCV","41001","2.93543","-75.277"
"2023-2-01","2023","2","01","ANTIOQUIA","MEDELLIN","EPM U DE M","2,400","GNCV","05001","6.24663","-75.581"
